Number,Title,Description,Labels,Status,Repository,Assignees,CreatedAt,UpdatedAt,ClosedAt,URL,access-control,accessibility,accommodations,admin,advocacy,advocate,alerts,algorithm,analytics,articles,audio,audit,automation,behavior,cases,charts,checklist,cognitive,collaboration,communication,comparison,compliance,concerns,confirmation,consent,contrast,dashboard,data-retention,deadlines,detection,directory,documents,email,epic:accessibility,epic:file-mgmt,epic:legal-kb,epic:lineage,epic:meeting-prep,epic:mobile-advocate,epic:mobile-parent,epic:mobile-teacher,epic:notifications,epic:progress-viz,epic:security,epic:smart-prompts,escalation,exit,export,ferpa,goals,graphs,i18n,inactivity,knowledge-base,legal,letters,library,lineage,localization,logging,lre,media,meetings,messaging,mobile,nlp,notes,notifications,ocr,organization,parent,parent-input,pdf,placement,preferences,preparation,priority:critical,priority:high,priority:low,priority:medium,privacy,profile,progress,questions,readability,reminders,resources,screen-reader,security,services,settings,sharing,smart-prompts,state-regulations,students,summary,tagging,teacher,templates,text-size,text-to-speech,timeline,timelines,tracking,upload,viewer,vision,visualization,wcag
15,Api - setup swagger,Across all schemas - make sure application has swagger schema so ui or web app can view contract and implement it,,Done,ASKIEP/iepapp,,2026-01-09T20:06:59Z,2026-01-11T21:31:31Z,2026-01-11T21:31:31Z,https://github.com/ASKIEP/iepapp/issues/15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Ui - make edit widgets across systems,,,Done,ASKIEP/iepapp,,2026-01-09T20:07:52Z,2026-01-27T06:08:13Z,2026-01-27T06:08:13Z,https://github.com/ASKIEP/iepapp/issues/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Ui - add different set of users login,,,Done,ASKIEP/iepapp,,2026-01-09T20:09:24Z,2026-01-27T06:08:07Z,2026-01-27T06:08:07Z,https://github.com/ASKIEP/iepapp/issues/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Api- integrate ai api for google flash,,,Done,ASKIEP/iepapp,,2026-01-09T20:10:39Z,2026-01-11T21:31:49Z,2026-01-11T21:31:49Z,https://github.com/ASKIEP/iepapp/issues/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,(mobile app) setup initial react native app,"Setup react native app template , configure environment variables ,task files ,build for iOS build for Android and metro bundler",,Done,ASKIEP/iepapp,,2026-01-18T02:06:07Z,2026-01-24T17:12:49Z,2026-01-24T17:12:49Z,https://github.com/ASKIEP/iepapp/issues/51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Ui - integrate auth based on applications ,,,Done,ASKIEP/iepapp,muthuishere,2026-01-04T16:53:15Z,2026-01-14T05:50:03Z,2026-01-14T05:50:03Z,https://github.com/ASKIEP/iepapp/issues/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Setup : CI/CD pipeline with API and deployed in Cloudrun  with environment variables available in github secret manager,,,Done,ASKIEP/iepapp,,2026-01-04T16:56:25Z,2026-01-11T21:04:20Z,2026-01-11T21:04:20Z,https://github.com/ASKIEP/iepapp/issues/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Notification bar error messages Improvement,,,Done,ASKIEP/iepapp,,2026-01-18T10:50:58Z,2026-01-24T17:12:20Z,2026-01-24T17:12:20Z,https://github.com/ASKIEP/iepapp/issues/60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Discovery : Identify APIs required for all screens/  Roles Assigned for API and contract for APi Request Response and handle error based on the UI,,,Done,ASKIEP/iepapp,,2026-01-04T16:57:33Z,2026-01-11T21:31:09Z,2026-01-11T21:31:09Z,https://github.com/ASKIEP/iepapp/issues/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Setup - React web app based on UI - https://askiep-454503056114.us-west1.run.app/,,,Done,ASKIEP/iepapp,muthuishere,2026-01-04T16:52:43Z,2026-01-06T19:52:09Z,2026-01-06T19:52:09Z,https://github.com/ASKIEP/iepapp/issues/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
